Reference,Qty,Description,Value/Part Number,Package,Manufacturer,Vendor,Vendor SKU,Unit Cost (USD),Notes
U2,1,MCU module — Seeed XIAO ESP32-C3,XIAO-ESP32C3,Castellated 14-pin,Seeed Studio,Seeed / DigiKey,113991054,5.50,Main compute. RISC-V @ 160MHz. WiFi + BLE. Native USB-C.
D1,1,Schottky diode for supply OR-ing,SS34,SMA (DIOM7959X265N),ON Semiconductor,DigiKey,SS34FSCT-ND,0.35,3A 40V. Isolates J1 and J2 supply inputs.
C1,1,Bulk capacitor at LED matrix connector,100µF / 16V,Radial through-hole 5.08mm,Nichicon or generic,DigiKey,various,0.45,Buffers WS2812B pulsed current. Observe polarity.
C2,1,Local decoupling at 5V rail,10µF / 10V ceramic X5R,0805,Murata or generic,DigiKey,various,0.15,High-frequency decoupling near XIAO.
R1,1,Thermistor divider fixed leg,10kΩ 1% 0603,0603,generic,DigiKey,various,0.02,Pairs with external 10kΩ NTC centered at ~25°C.
R2,1,WS2812B data line series resistor,330Ω 0603,0603,generic,DigiKey,various,0.02,Signal integrity damping between XIAO GPIO and matrix DIN.
R3,1,Sensor input series resistor,70Ω 0603,0603,generic,DigiKey,various,0.02,Reserved for analog sensor input protection.
R4 R5,2,Reserved matched pair,22Ω 0603,0603,generic,DigiKey,various,0.02,Reserved footprint for future use — populate with 0Ω to jumper if not used.
R6 R7,2,I2C bus pull-up resistors,2.4kΩ 0603,0603,generic,DigiKey,various,0.02,Pull SDA and SCL to VDD_3V3.
J1 J2,2,DC barrel jack input,694106301002,PCB-mount 5.5×2.1mm,Würth Elektronik,DigiKey,732-1198-ND,1.20,J1 = logic input. J2 = matrix input.
J3 J4,2,Qwiic / STEMMA QT I2C connector,PRT-14417,JST-SH 4-pin SMD,SparkFun,SparkFun,PRT-14417,0.60,Plug-and-play I2C sensor expansion.
J5,1,WS2812B matrix connector,PINHD-1X03,JST-SM 3-pin through-hole,generic,Amazon (with matrix),—,0.30,Pinout: GND / DIN / 5V.
SENS 4-pin,1,Sensor header (4-pin analog),PINHD-1X04,0.1" through-hole,generic,DigiKey,various,0.15,Phototransistor or three-terminal analog device input.
SENS 2-pin,1,Thermistor header (2-pin),PINHD-1X02,0.1" through-hole,generic,DigiKey,various,0.10,External NTC thermistor or other resistive sensor.
I2C debug,1,I2C breakout header (4-pin),PINHD-1X04,0.1" through-hole,generic,DigiKey,various,0.15,3V3 / GND / SDA / SCL for breadboard prototyping.
—,1,BME280 environmental sensor (external),—,Qwiic / STEMMA QT breakout,Adafruit or SparkFun,Adafruit/SparkFun,Adafruit 2652 / SparkFun SEN-13676,10.95,Connects via J3 or J4. Temperature / humidity / pressure.
—,1,PCB fabrication,—,50 × 45 mm 2-layer,JLCPCB / PCBWay / OSHPark,—,—,3.50,Cost per board at qty 5.
,,,,,,,,~24.00,Total per assembled board (excluding wall adapter and BME280 breakout).
,,,,,,,,~34.00,Total including BME280 Qwiic breakout.
